id,property_type,room_type,bathrooms,bedrooms,minimum_nights,price(in $)
361230,Apartment,Entire home/apt,1,2,30,270
364023,Apartment,Private room,1,1,30,85
364397,Apartment,Private room,1.5,1,2,95
366541,Apartment,Entire home/apt,2,2,30,500
374997,Apartment,Entire home/apt,1,3,3,549
377452,House,Entire home/apt,1,1,31,200
377569,House,Private room,1,1,3,70
379255,House,Entire home/apt,3.5,4,5,672
379349,Guest suite,Entire home/apt,1,1,3,130
379418,House,Entire home/apt,2.5,3,4,390
381217,House,Private room,1,1,3,102
392543,Guest suite,Entire home/apt,1,1,4,250
394575,Apartment,Entire home/apt,1,0,6,149
400433,Apartment,Entire home/apt,2,2,2,355
408471,House,Entire home/apt,3,3,2,700
409549,Condominium,Entire home/apt,1.5,2,3,169
409560,House,Private room,1.5,1,30,60
413663,Apartment,Entire home/apt,2,2,30,189
415498,Apartment,Entire home/apt,1,1,30,130
420160,Apartment,Private room,1,1,3,99
423063,Condominium,Entire home/apt,1,1,3,289
423300,Guest suite,Entire home/apt,1,1,30,119
424846,House,Private room,1.5,1,2,132
430692,Apartment,Private room,null,1,31,68
431632,Apartment,Entire home/apt,1,1,3,140
431862,Apartment,Entire home/apt,1,null,30,124
435389,House,Shared room,2.5,1,30,30
435390,House,Shared room,2.5,1,30,30
435391,House,Shared room,2.5,1,30,30
437385,Condominium,Private room,2,1,2,128
438940,Apartment,Private room,1.5,1,2,116
438967,Condominium,Private room,1.5,1,1,109
439703,Condominium,Entire home/apt,1.5,4,1,350
442349,Apartment,Entire home/apt,1,1,30,250
442397,House,Entire home/apt,2,2,4,324
444675,Apartment,Entire home/apt,2,3,30,190
450992,Apartment,Entire home/apt,1,1,30,110
455783,Apartment,Private room,1.5,1,30,57
456568,House,Private room,3,1,1,89
457862,House,Entire home/apt,1.5,3,3,425
457986,Condominium,Entire home/apt,2,2,6,225
459990,Serviced apartment,Hotel room,1,0,30,148
465723,Apartment,Entire home/apt,1,1,2,160
467507,Guest suite,Entire home/apt,1,1,3,145
468490,Condominium,Entire home/apt,2.5,4,1,490
468751,Apartment,Entire home/apt,1,2,3,280
470686,Condominium,Private room,1,1,1,125
472901,Apartment,Entire home/apt,1,0,31,170
474001,House,Shared room,2.5,1,30,30
474107,House,Private room,1,3,2,90
479072,Guest suite,Entire home/apt,1,0,1,199
479415,House,Entire home/apt,2,3,3,230
482592,House,Entire home/apt,1.5,4,2,675
485286,Apartment,Entire home/apt,1,2,2,195
487019,Apartment,Entire home/apt,2,3,4,205
487499,Apartment,Entire home/apt,1,1,30,125
488297,Condominium,Private room,2,3,3,399
491867,Condominium,Entire home/apt,2,3,3,375
491874,Condominium,Private room,1,1,3,130
493889,Apartment,Entire home/apt,1,1,4,225
494111,Apartment,Entire home/apt,1,1,3,130
496226,Apartment,Entire home/apt,1,1,30,170
499096,Apartment,Entire home/apt,1,1,3,100
501057,House,Entire home/apt,1.5,2,3,295
501770,Apartment,Entire home/apt,1,1,30,220
503362,Apartment,Entire home/apt,2,2,30,350
504146,Condominium,Entire home/apt,1,0,2,280
505530,House,Entire home/apt,2,4,30,275
505763,Apartment,Entire home/apt,1,1,365,200
515260,House,Entire home/apt,1,2,3,260
515524,Apartment,Entire home/apt,1,1,30,90
516836,House,Private room,2,1,3,135
517803,Bungalow,Entire home/apt,1.5,2,5,550
519796,Apartment,Entire home/apt,1,1,31,126
522089,Apartment,Entire home/apt,1,3,3,495
522273,Apartment,Private room,1.5,1,30,70
527226,House,Private room,1,1,30,95
530857,House,Private room,1.5,1,7,100
531151,House,Entire home/apt,2.5,4,4,449
533193,House,Private room,1,1,30,43
533627,House,Entire home/apt,3,3,4,650
545585,Apartment,Private room,1,1,30,140
545685,Guest suite,Entire home/apt,1,1,1,79
548232,Condominium,Entire home/apt,1,3,4,"1,195"
555596,Guest suite,Entire home/apt,1,1,5,129
560440,Apartment,Entire home/apt,1,2,5,220
561148,House,Entire home/apt,2,3,3,450
561602,House,Private room,1,2,4,105
562311,Apartment,Private room,2,2,4,103
562593,Apartment,Entire home/apt,1,1,4,200
567239,House,Private room,1,1,2,95
